"","Name","Pos","Odds","TGP","AG","APIM","AA","AOTG","AGW","AHat"
"277","J. De La ","C",0.136693548387097,124,0.0806451612903226,0.491935483870968,0.161290322580645,0,0,0
"278","J. Demers","D",0.156486486486486,185,0.0540540540540541,0.32972972972973,0.140540540540541,0,0.0324324324324324,0
"279","J. Dickin","C",0.373557692307692,104,0.115384615384615,0.605769230769231,0.326923076923077,0.0384615384615385,0.0384615384615385,0
"280","J. Donsko","RW",0.346376811594203,207,0.202898550724638,0.222222222222222,0.309178743961353,0,0.0483091787439614,0
"281","J. Dotchi","D",0.0407766990291262,103,0.029126213592233,1.12621359223301,0.0970873786407767,0,0,0
"282","J. Drouin","LW",0.48008658008658,231,0.212121212121212,0.354978354978355,0.445887445887446,0.00865800865800866,0.0432900432900433,0
"283","J. Eberle","RW",0.353734439834025,241,0.261410788381743,0.228215767634855,0.29045643153527,0.004149377593361,0.0705394190871369,0
"284","J. Edmund","D",0.100742574257426,202,0.0544554455445545,0.955445544554455,0.138613861386139,0,0.0099009900990099,0
"285","J. Eichel","C",0.881951219512195,205,0.395121951219512,0.409756097560976,0.717073170731707,0.024390243902439,0.0390243902439024,0.0048780487804878
"286","J. Ericss","D",0.0551630434782609,184,0.0489130434782609,0.635869565217391,0.0760869565217391,0,0.0108695652173913,0
"287","J. Erikss","C",0.168243243243243,148,0.135135135135135,0.418918918918919,0.162162162162162,0,0.027027027027027,0
"288","J. Falk","D",-0.0138888888888889,108,0.00925925925925926,0.462962962962963,0.00925925925925926,0,0,0
"289","J. Fast","RW",0.205365853658537,205,0.141463414634146,0.380487804878049,0.214634146341463,0,0.00975609756097561,0
"290","J. Faulk","D",0.420171673819743,233,0.128755364806867,0.609442060085837,0.304721030042918,0,0.0386266094420601,0.00429184549356223
"291","J. Gardin","D",0.428318584070796,226,0.0486725663716814,0.371681415929204,0.446902654867257,0,0,0
"292","J. Garris","D",0,95,0.0210526315789474,0.210526315789474,0.0105263157894737,0,0,0
"293","J. Gaudre","LW",1.31752136752137,234,0.41025641025641,0.316239316239316,0.794871794871795,0.0256410256410256,0.0854700854700855,0.0170940170940171
"294","J. Gorges","D",0.0115,100,0,0.17,0.02,0,0,0
"295","J. Guentz","LW",1.00147058823529,204,0.5,0.46078431372549,0.480392156862745,0.00980392156862745,0.0441176470588235,0.0196078431372549
"296","J. Hansen","RW",0.148876404494382,89,0.0224719101123595,0.168539325842697,0.134831460674157,0,0.0224719101123595,0
"297","J. Hayden","RW",0.0672566371681416,113,0.0884955752212389,0.955752212389381,0.115044247787611,0,0,0
"298","J. Hayes","RW",0.0846153846153846,91,0.032967032967033,0.0659340659340659,0.0659340659340659,0,0.021978021978022,0
"299","J. Ho-San","RW",0.213207547169811,53,0.0754716981132075,0.264150943396226,0.226415094339623,0,0,0
"300","J. Honka","D",0.106896551724138,87,0.0114942528735632,0.390804597701149,0.126436781609195,0,0,0
"301","J. Huberd","LW",0.894358974358974,195,0.446153846153846,0.574358974358974,0.851282051282051,0,0.0717948717948718,0
"302","J. Iginla","RW",0,80,0,0,0,0,0,0
"303","J. Jagr","RW",0.0528846153846154,104,0.00961538461538462,0.0961538461538462,0.0576923076923077,0,0,0
"304","J. Johnso","D",0.115352697095436,241,0.020746887966805,0.431535269709544,0.132780082987552,0,0.004149377593361,0
"305","J. Jokine","LW",0.0961240310077519,129,0.0387596899224806,0.0930232558139535,0.0930232558139535,0,0.00775193798449612,0
"306","J. Jooris","RW",0.0234042553191489,94,0.0319148936170213,0.170212765957447,0.0319148936170213,0,0,0
"307","J. Josefs","C",0.0220779220779221,77,0.025974025974026,0.0779220779220779,0.025974025974026,0,0,0
"308","J. Khaira","C",0.25431654676259,139,0.122302158273381,0.956834532374101,0.287769784172662,0,0.0143884892086331,0
"309","J. Klingb","D",0.617256637168142,226,0.123893805309735,0.221238938053097,0.570796460176991,0,0.0575221238938053,0
"310","J. Larsso","C",0.120899470899471,189,0.0846560846560847,0.650793650793651,0.153439153439153,0,0,0
"311","J. Larsso","D",0.158490566037736,53,0,0.60377358490566,0.188679245283019,0,0,0
"312","J. Lehter","C",0.0326797385620915,153,0.0326797385620915,0.522875816993464,0.0588235294117647,0,0,0
"313","J. Leivo","LW",0.223809523809524,105,0.276190476190476,0.666666666666667,0.219047619047619,0,0.0380952380952381,0
"314","J. Manson","D",0.20635593220339,236,0.0550847457627119,0.788135593220339,0.23728813559322,0,0.00847457627118644,0
"315","J. Marche","C",0.772649572649573,234,0.329059829059829,0.615384615384615,0.495726495726496,0.0170940170940171,0.0769230769230769,0.00854700854700855
"316","J. Martin","LW",0.349791666666667,240,0.15,0.504166666666667,0.120833333333333,0,0.0458333333333333,0.00833333333333333
"317","J. McCabe","D",0.128723404255319,188,0.0585106382978723,0.51063829787234,0.154255319148936,0,0,0
"318","J. McCann","LW",0.316571428571429,175,0.268571428571429,0.525714285714286,0.291428571428571,0.00571428571428571,0.0457142857142857,0
"319","J. McClem","C",0,65,0,0,0,0,0,0
"320","J. McGinn","LW",0.130239520958084,167,0.125748502994012,0.269461077844311,0.131736526946108,0,0.0119760479041916,0
"321","J. Megna","C",0,58,0,0,0,0,0,0
"322","J. Merril","D",0.145070422535211,142,0.0492957746478873,0.901408450704225,0.183098591549296,0,0.00704225352112676,0
"323","J. Miller","C",0.577405857740586,239,0.205020920502092,0.418410041841004,0.430962343096234,0.00836820083682008,0.0543933054393305,0.00418410041841004
"324","J. Mitche","C",0,65,0,0,0,0,0,0
"325","J. Moore","D",0.146585365853659,205,0.0731707317073171,0.482926829268293,0.141463414634146,0.00975609756097561,0.0195121951219512,0
"326","J. Morris","D",0.320945945945946,222,0.0855855855855856,0.337837837837838,0.310810810810811,0.00900900900900901,0.018018018018018,0
"327","J. Morrow","D",0.164035087719298,114,0.0701754385964912,0.578947368421053,0.192982456140351,0,0,0
"328","J. Muzzin","D",0.365677966101695,236,0.110169491525424,0.567796610169492,0.38135593220339,0,0.0127118644067797,0
"329","J. Neal","RW",0.235294117647059,204,0.191176470588235,0.392156862745098,0.21078431372549,0.00490196078431373,0.0392156862745098,0
"330","J. Nolan","C",0.0244186046511628,129,0.0310077519379845,0.751937984496124,0.062015503875969,0,0,0
"331","J. Nordst","C",0.094273127753304,227,0.0704845814977974,0.140969162995595,0.066079295154185,0.00881057268722467,0.026431718061674,0
"332","J. Oduya","D",0.0230769230769231,104,0.0384615384615385,0.307692307692308,0.0384615384615385,0,0,0
"333","J. Oester","D",0.284375,128,0.1328125,0.25,0.296875,0,0,0
"334","J. Oleksi","D",0.121385542168675,166,0.0783132530120482,1.06626506024096,0.168674698795181,0,0.00602409638554217,0
"335","J. Pageau","C",0.154773869346734,199,0.110552763819095,0.321608040201005,0.155778894472362,0.0050251256281407,0.0100502512562814,0
"336","J. Pavels","C",0.658613445378151,238,0.411764705882353,0.357142857142857,0.403361344537815,0.00840336134453781,0.0546218487394958,0.00840336134453781
"337","J. Petry","D",0.433606557377049,244,0.155737704918033,0.344262295081967,0.39344262295082,0.0163934426229508,0.040983606557377,0
"338","J. Pominv","RW",0.236909871244635,233,0.206008583690987,0.0686695278969957,0.206008583690987,0.00429184549356223,0.0300429184549356,0
"339","J. Puljuj","RW",0.127338129496403,139,0.143884892086331,0.330935251798561,0.129496402877698,0,0.0143884892086331,0
"340","J. Roslov","C",0.821100917431193,109,0.211009174311927,0.0917431192660551,0.357798165137615,0,0.00917431192660551,0.018348623853211
