C,Name,Pos,City,GP,G,A,Pts,PIM,PIMB,SOA,SOG,PP,PPA,SH,SHA,OTG,GW,GT,EN,Hat.,S,+/-,PPts,PPts/GP,Sal,CapH,St
231,R. Panik,RW,WAS,75,14,19,33,44,0,1,0,0,2,1,0,1,2,0,1,0,140,-3,33,0.4,3.2,2.75,
232,J. Bratt,LW,NJ,51,8,25,33,6,0,2,0,1,7,0,0,0,1,0,0,0,91,-8,33,0.6,0.78,0.75,
233,M. Heiska,D,DAL,82,12,21,33,16,0,2,0,2,6,0,1,0,4,0,0,0,182,-14,33,0.4,0.93,0.89,
234,N. Hanifi,D,CAL,80,5,28,33,12,0,1,0,1,4,1,1,0,2,0,0,0,116,18,33,0.4,4.95,4.95,
235,A. Duclai,LW,OTT,74,19,14,33,14,0,1,0,7,1,0,0,0,3,0,1,0,132,-2,33,0.4,1.65,1.65,
236,J. Carter,C,LA,76,13,20,33,42,0,0,0,5,8,1,1,0,1,0,1,0,174,-20,33,0.4,3,5.27,
237,C. Cizika,C,NYI,73,20,13,33,36,0,0,0,0,0,2,1,0,3,0,3,0,111,22,33,0.5,3.75,3.35,
238,S. Weber,D,MON,58,14,19,33,28,0,0,0,5,1,0,0,0,3,0,0,0,166,15,33,0.6,6,7.86,
239,C. Sisson,C,NAS,75,15,15,30,23,5,0,0,1,1,0,1,1,3,0,2,1,110,20,32,0.4,3.45,2.86,
240,M. Sergac,D,TB,75,6,26,32,28,0,0,0,0,6,0,0,0,0,0,0,0,128,12,32,0.4,0.83,0.89,
241,M. Jankow,C,CAL,79,14,18,32,12,0,1,0,0,0,5,3,0,1,0,0,0,99,6,32,0.4,1.75,1.68,
242,S. Laught,C,PHI,82,12,20,32,53,5,0,0,0,0,0,2,0,1,0,2,0,130,-11,32,0.4,2.3,2.3,
243,E. Lindel,D,DAL,82,11,21,32,33,5,0,0,4,3,2,0,0,1,0,1,0,132,14,32,0.4,7,5.8,
244,J. Comphe,LW,COL,66,16,16,32,31,5,1,0,4,5,3,0,0,3,0,1,0,118,-8,32,0.5,3.4,3.5,
245,P. Byron,LW,MON,56,15,16,31,17,5,1,1,0,1,2,1,1,3,0,1,0,94,16,31,0.6,4,3.4,
246,J. Slavin,D,CAR,82,8,23,31,18,0,3,0,5,2,1,1,0,1,0,1,0,146,0,31,0.4,5.5,5.3,
247,P. Subban,D,NJ,63,9,22,31,60,0,0,0,2,8,1,0,0,1,0,0,0,168,5,31,0.5,10,9,
248,A. Lehkon,LW,MON,82,11,20,31,32,0,0,0,0,0,0,0,0,4,0,0,0,176,10,31,0.4,2.4,2.4,
249,A. Rousse,LW,VAN,65,9,22,31,118,10,1,0,0,0,0,0,0,1,0,0,0,84,5,31,0.5,3.8,3,
250,J. Morris,D,WIN,59,6,25,31,14,0,0,0,3,7,1,1,1,2,0,1,0,95,9,31,0.5,3.15,3.15,
251,V. Filppu,C,DET,72,17,14,31,16,0,3,0,0,0,1,0,1,4,0,1,0,78,19,31,0.4,3,3,
252,N. Patric,C,PHI,72,13,18,31,27,5,3,2,1,1,0,0,1,3,0,1,0,115,-8,31,0.4,0.93,0.93,
253,J. Pominv,RW,BUF,73,16,15,31,4,0,3,1,1,1,0,0,0,3,0,0,0,134,-4,31,0.4,-,-,
254,O. Sundqv,C,STL,74,14,17,31,22,0,0,0,0,1,1,1,0,2,0,1,0,113,-1,31,0.4,2.25,2.75,
255,T. Myers,D,VAN,80,9,22,31,63,5,0,0,0,7,1,1,0,3,0,1,0,156,11,31,0.4,7,6,
256,D. Byfugl,D,WIN,42,4,27,31,69,5,0,0,1,15,0,0,0,1,0,0,0,115,4,31,0.7,8,7.6,
257,N. Ritchi,LW,ANA,60,9,22,31,82,0,0,0,2,7,0,0,0,2,0,0,0,96,6,31,0.5,1.4,1.5,
258,V. Namest,C,NYR,78,11,20,31,44,0,0,0,1,2,2,3,0,3,0,1,0,119,-7,31,0.4,4,4,
259,M. Johans,LW,BUF,58,13,17,30,8,0,0,0,2,7,0,0,0,1,0,0,0,115,-16,30,0.5,5,4.5,
260,A. Beauvi,LW,NYI,81,18,10,28,8,0,1,0,1,1,0,0,0,4,0,0,1,156,1,30,0.4,1.8,2.1,
261,W. Simmon,RW,NJ,79,17,13,30,99,15,0,0,5,3,0,0,0,2,0,1,0,157,-16,30,0.4,5,5,
262,N. Schmid,D,VEG,61,9,21,30,8,0,0,0,1,7,0,0,0,1,0,3,0,112,22,30,0.5,6.8,5.95,
263,J. Gardin,D,CAR,62,3,27,30,26,0,0,0,0,5,0,0,0,0,0,0,0,78,19,30,0.5,3.65,4.05,
264,R. Faksa,C,DAL,81,15,15,30,54,10,0,0,1,2,1,1,0,1,0,2,0,114,-3,30,0.4,2.4,2.2,
265,M. Sorens,LW,SJ,80,17,13,30,23,5,0,0,0,0,1,1,0,1,0,0,0,100,10,30,0.4,1.5,1.5,
266,T. DeAnge,D,NYR,61,4,26,30,77,15,4,2,0,10,0,0,0,0,0,0,0,111,6,30,0.5,-,-,
267,W. Butche,D,NJ,78,4,26,30,18,0,0,0,1,13,0,0,0,1,0,0,0,108,-17,30,0.4,3.5,3.73,
268,M. Perrea,LW,WIN,82,15,15,30,44,0,1,0,4,3,0,0,0,3,0,0,0,95,-1,30,0.4,4,4.13,
269,E. Rodrig,C,BUF,74,9,20,29,25,5,0,0,2,2,0,3,0,1,0,0,0,168,-7,29,0.4,2,2,
270,B. Tanev,LW,PIT,80,14,15,29,41,10,0,0,0,0,2,1,0,0,0,1,0,127,9,29,0.4,3.5,3.5,
271,R. Murray,D,CLB,56,1,28,29,10,0,0,0,0,1,0,0,0,0,0,1,0,71,20,29,0.5,4.5,4.6,
272,D. Shore,LW,ANA,76,10,19,29,13,5,0,0,2,3,2,0,0,4,0,0,0,82,-12,29,0.4,2.4,2.3,
273,M. Koivu,C,MIN,48,8,21,29,22,0,1,0,2,10,0,1,0,0,0,2,0,89,-2,29,0.6,5,5.5,
274,B. Richar,C,ARI,66,19,8,27,22,0,0,0,0,0,3,3,0,3,0,1,1,128,6,29,0.4,1.4,1.25,
275,C. Brown,RW,OTT,82,8,21,29,16,0,0,0,0,1,0,3,0,0,0,1,0,85,11,29,0.4,2.1,2.1,
276,C. Miller,D,BUF,65,3,26,29,44,0,0,0,1,12,0,0,0,0,0,0,0,131,0,29,0.4,3.88,3.88,
277,L. Erikss,LW,VAN,81,11,18,29,22,0,0,0,1,2,0,0,0,2,0,2,0,107,-11,29,0.4,5,6,
278,B. Pesce,D,CAR,73,7,22,29,24,0,0,0,0,0,0,2,0,2,0,0,0,98,35,29,0.4,4.03,4.03,
279,D. Orlov,D,WAS,82,3,26,29,33,5,0,0,0,1,0,0,0,0,0,0,0,101,3,29,0.4,6.5,5.1,
280,K. Okposo,RW,BUF,78,14,15,29,41,5,1,0,7,4,0,0,0,2,0,0,0,147,-9,29,0.4,6,6,
281,C. McAvoy,D,BOS,54,7,21,28,45,5,1,0,1,1,0,1,1,3,0,0,0,79,14,28,0.5,3.7,4.9,
