C,Name,Pos,City,GP,G,A,Pts,PIM,PIMB,SOA,SOG,PP,PPA,SH,SHA,OTG,GW,GT,EN,Hat.,S,+/-,PPts,PPts/GP,Sal,CapH,St
288,B. Ryan,RW,OTT,62,13,12,25,24,0,8,3,2,3,0,0,0,0,0,1,0,111,-3,25,0.4,7.5,7.25,
289,T. Brouwe,RW,FLA,74,13,12,25,31,5,1,0,5,6,1,1,0,2,0,1,0,86,-11,25,0.3,-,-,
290,B. Boyle,C,NAS,75,13,12,25,66,30,3,2,3,3,0,0,0,2,0,0,0,131,3,25,0.3,-,-,
291,D. Winnik,LW,BOS,72,12,13,25,49,15,0,0,0,0,2,0,0,3,0,1,0,82,15,25,0.3,-,-,
292,L. Eller,C,WAS,81,12,13,25,36,0,0,0,0,1,1,0,0,2,0,2,0,115,15,25,0.3,4,3.5,
293,D. Moore,C,TOR,82,11,14,25,44,0,1,0,0,0,3,1,0,1,0,2,0,96,2,25,0.3,-,-,
294,J. Martin,LW,CAR,77,11,14,25,40,0,0,0,1,1,1,2,0,2,0,1,0,109,-8,25,0.3,2,2,
295,C. Cizika,C,NYI,59,8,17,25,30,0,1,0,0,1,0,0,0,1,0,0,0,82,9,25,0.4,3.75,3.35,
296,W. Karlss,C,VEG,81,6,19,25,10,0,0,0,1,0,0,2,0,3,0,0,0,96,10,25,0.3,5.9,5.9,
297,C. de Haa,D,CHI,82,5,20,25,36,5,0,0,1,1,0,0,0,1,0,1,0,116,15,25,0.3,4.7,4.55,
298,M. Ribeir,C,NAS,46,4,21,25,14,0,0,0,2,5,0,0,0,0,0,0,0,38,-5,25,0.5,-,-,
299,J. Brodin,D,MIN,68,3,22,25,20,0,0,0,2,5,0,0,0,2,0,0,0,85,5,25,0.4,4.75,4.17,
300,B. Ritchi,RW,BOS,78,16,8,24,38,10,0,0,1,1,0,0,0,2,0,0,0,167,11,24,0.3,1,1,
301,A. Chiass,RW,EDM,81,12,12,24,46,5,0,0,0,2,1,0,0,1,0,0,0,104,-6,24,0.3,2.15,2.15,
302,T. Lewis,C,LA,82,12,12,24,30,0,1,0,1,1,0,0,0,3,0,0,0,145,-6,24,0.3,2,2,
303,L. Erikss,LW,VAN,65,11,13,24,8,0,3,0,5,2,0,1,0,1,0,0,0,132,-9,24,0.4,5,6,
304,A. Beauvi,LW,NYI,66,9,15,24,10,0,2,1,0,1,0,0,0,2,0,0,0,101,1,24,0.4,1.8,2.1,
305,C. Scevio,C,FLA,80,9,15,24,25,5,0,0,1,2,3,1,0,1,0,0,1,172,-16,26,0.3,1.2,1.2,
306,P. Zacha,C,NJ,70,8,16,24,19,0,1,0,5,8,0,0,0,2,0,0,0,83,-17,24,0.3,1.75,2.25,
307,Z. Kassia,RW,EDM,79,7,17,24,101,35,0,0,0,0,0,0,0,0,0,0,0,110,4,24,0.3,2,1.95,
308,S. Andrig,RW,COL,46,7,17,24,12,0,0,0,2,2,0,0,0,0,0,0,0,68,1,24,0.5,-,-,
309,S. Vatane,D,NJ,71,3,21,24,30,0,0,0,2,12,0,0,0,0,0,0,0,117,3,24,0.3,4.5,4.88,
310,T. Steche,D,VAN,71,3,21,24,25,5,0,0,1,7,0,0,0,0,0,0,0,125,-16,24,0.3,2.33,2.33,
311,B. Connol,RW,FLA,66,15,8,23,40,0,1,0,1,0,0,0,0,3,0,0,0,81,20,23,0.3,3.5,3.5,
312,M. Folign,LW,MIN,80,13,10,23,73,45,0,0,0,0,1,0,0,0,0,2,0,97,-1,23,0.3,3.5,2.88,
313,N. Kulemi,C,NYI,72,12,11,23,18,0,2,1,1,1,1,1,0,4,0,1,0,74,3,23,0.3,-,-,
314,C. Tierne,C,OTT,80,11,12,23,6,0,0,0,1,0,1,1,0,2,0,0,0,90,0,23,0.3,2.98,2.94,
315,M. Grigor,C,COL,75,10,13,23,18,0,0,0,0,4,0,0,0,0,0,0,0,85,-14,23,0.3,-,-,
316,T. Pyatt,LW,OTT,82,9,14,23,16,0,3,1,0,0,0,2,0,1,0,1,0,95,9,23,0.3,-,-,
317,M. Stajan,C,CAL,81,6,17,23,40,0,0,0,0,0,0,2,0,3,0,0,0,59,3,23,0.3,-,-,
318,D. Savard,D,CLB,74,6,17,23,44,0,0,0,0,0,0,2,0,0,0,0,0,135,33,23,0.3,5,4.25,
319,J. Boychu,D,NYI,66,6,17,23,19,5,1,0,1,3,1,1,0,2,0,1,0,155,11,23,0.3,6,6,
320,R. Gudas,D,WAS,67,6,17,23,93,15,0,0,0,1,0,0,0,0,0,1,0,113,8,23,0.3,2.5,3.35,
321,J. Johnso,D,PIT,82,5,18,23,32,0,0,0,1,1,0,1,0,1,0,0,0,116,23,23,0.3,4,3.25,
322,M. Ekholm,D,NAS,82,3,20,23,34,0,0,0,0,3,0,1,0,1,0,0,0,120,4,23,0.3,4,3.75,
323,J. Moore,D,BOS,63,12,10,22,39,5,0,0,1,2,0,0,1,1,0,0,0,102,-7,22,0.3,3.25,2.75,
324,M. Karlss,C,SJ,67,11,11,22,22,0,0,0,0,0,2,0,0,1,0,0,0,73,7,22,0.3,2,2,
325,T. Hertl,C,SJ,49,10,12,22,14,0,0,0,1,1,0,0,0,4,0,2,0,100,-8,22,0.4,6.25,5.63,
326,J. Lehter,C,PHI,64,7,15,22,34,0,0,0,0,3,0,0,0,1,0,1,0,67,-6,22,0.3,-,-,
327,N. Dowd,C,WAS,70,6,16,22,25,5,2,0,1,7,0,0,1,2,0,0,0,78,-15,22,0.3,0.7,0.75,
328,C. Hageli,LW,WAS,61,6,16,22,16,0,0,0,0,0,0,1,0,2,0,1,0,128,10,22,0.4,3.5,2.75,
329,D. Seiden,D,BOS,73,5,17,22,32,0,0,0,0,0,0,0,0,0,0,0,0,89,25,22,0.3,-,-,
330,A. Stralm,D,FLA,73,5,17,22,20,0,1,0,1,6,0,0,0,0,0,2,0,130,1,22,0.3,5.5,5.5,
